Source Filename,Original First Index,Original Last Index,Original First Timestamp,Original Last Timestamp,New Index,New Timestamp,Original Second Text,New Text (Full)
5 eng.srt,215,217,"00:14:20,528 --> 00:14:23,490","00:14:24,950 --> 00:14:27,159",205,"00:14:20,528 --> 00:14:27,159","that place could be incredible,","With just a little bit of imagination and a little bit of work, that place could be incredible, and much more of a reflection of where you're at now."
5 eng.srt,219,220,"00:14:29,078 --> 00:14:34,500","00:14:35,793 --> 00:14:37,254",207,"00:14:29,078 --> 00:14:37,254","and just go, ""Wow.""","The kind of place that people can arrive at from the city and just go, ""Wow."""
5 eng.srt,278,279,"00:18:05,670 --> 00:18:08,632","00:18:08,714 --> 00:18:11,800",265,"00:18:05,670 --> 00:18:11,800",you bought the place next door and combined the two properties?,"What if, instead of selling this property, you bought the place next door and combined the two properties?"
5 eng.srt,280,282,"00:18:12,426 --> 00:18:16,263","00:18:20,809 --> 00:18:23,730",266,"00:18:12,426 --> 00:18:23,730","Okay, what if you put in a beautiful tennis court","Look, what if you… Okay, what if you put in a beautiful tennis court and then, just next to that, a basketball court?"
5 eng.srt,313,314,"00:20:14,924 --> 00:20:16,134","00:20:16,718 --> 00:20:19,637",297,"00:20:14,924 --> 00:20:19,637",'cause I know that he loved me with every cell of his body.,"I've made peace with it, 'cause I know that he loved me with every cell of his body."
5 eng.srt,336,337,"00:21:37,089 --> 00:21:41,552","00:21:41,635 --> 00:21:42,804",319,"00:21:37,089 --> 00:21:42,804",but Jerusalem?,"Look, I love the idea that you wanna take the time to do this, but Jerusalem?"
5 eng.srt,354,355,"00:22:41,238 --> 00:22:43,615","00:22:43,698 --> 00:22:44,782",336,"00:22:41,238 --> 00:22:44,782",and then we'll start work.,"We'll send Bonnie and the kids back to the city tomorrow, and then we'll start work."
5 eng.srt,365,367,"00:23:11,518 --> 00:23:13,811","00:23:15,939 --> 00:23:17,858",346,"00:23:11,518 --> 00:23:17,858",- Okay. - But I'm sure we'll have you back,"My patients know I'm on a short sabbatical, so… - Okay. - But I'm sure we'll have you back as soon as the first draft is done. Right, Marty?"
5 eng.srt,385,386,"00:24:24,924 --> 00:24:28,470","00:24:28,553 --> 00:24:32,348",364,"00:24:24,924 --> 00:24:32,348",slowly applying lipstick to her mouth.,"There she sat in front of the mirror, slowly applying lipstick to her mouth."
5 eng.srt,406,407,"00:26:17,412 --> 00:26:18,538","00:26:25,002 --> 00:26:26,837",384,"00:26:17,412 --> 00:26:26,837","Wait, wait. And I... You know what?","Then all of a sudden… Wait, wait. And I... You know what?"
5 eng.srt,415,416,"00:26:55,200 --> 00:26:58,118","00:26:58,202 --> 00:27:00,263",392,"00:26:55,200 --> 00:27:00,263",and now they're finally taking a well-deserved break.,"These guys are the best. They've been working 75-hour weeks, and now they're finally taking a well-deserved break."
5 eng.srt,473,474,"00:29:58,299 --> 00:30:01,845","00:30:01,928 --> 00:30:04,096",449,"00:29:58,299 --> 00:30:04,096",- and I-I-I was so jealous. - They're dead.,"Oh, my gosh. That was the summer that Phyllis really shot up, - and I-I-I was so jealous. - They're dead."
5 eng.srt,477,478,"00:30:14,356 --> 00:30:16,251","00:30:16,276 --> 00:30:18,962",452,"00:30:14,356 --> 00:30:18,962",but I don't think you're working on you. Do you know what I'm saying?,"You know, sometimes I feel like I'm working on you, but I don't think you're working on you. Do you know what I'm saying?"
5 eng.srt,508,509,"00:31:57,210 --> 00:31:59,313","00:31:59,336 --> 00:32:01,839",482,"00:31:57,210 --> 00:32:01,839",but you failed to mention that you're in love with a tree.,"Marty, you told me years ago you'd never been in love, but you failed to mention that you're in love with a tree."
5 eng.srt,525,526,"00:32:57,645 --> 00:33:00,272","00:33:00,356 --> 00:33:03,567",498,"00:32:57,645 --> 00:33:03,567",and that is a deep root of your pathology.,"The way your mother loved you was not healthy, and that is a deep root of your pathology."
5 eng.srt,531,532,"00:33:20,042 --> 00:33:21,877","00:33:21,961 --> 00:33:26,215",503,"00:33:20,042 --> 00:33:26,215",and now she has left you emotionally and sexually stunted.,"Your mother wouldn't let you grow up, and now she has left you emotionally and sexually stunted."
5 eng.srt,548,549,"00:34:27,777 --> 00:34:29,737","00:34:29,820 --> 00:34:31,989",519,"00:34:27,777 --> 00:34:31,989","because obviously, you have not moved on at all.","No, I think I might be a terrible therapist because obviously, you have not moved on at all."
6 eng.srt,3,4,"00:00:16,320 --> 00:00:18,419","00:00:18,420 --> 00:00:20,187",3,"00:00:16,320 --> 00:00:20,187",but were afraid to ask.,[IKE] Everything you always wanted to know about the party but were afraid to ask.
6 eng.srt,11,12,"00:00:35,170 --> 00:00:37,788","00:00:38,900 --> 00:00:40,720",10,"00:00:35,170 --> 00:00:40,720",Question: What should I wear?,- Answer: A summer party. - [MUTTERS] Question: What should I wear?
